E,xi
0.1,8.974401366255046
0.04893900918477494,37.95226904302803
0.02395026619987486,41.14051988454413
0.0117210229753348,25.979965257029637
0.005736152510448681,22.45146565514687
0.0028072162039411755,24.411482381248753
0.0013738237958832624,30.833619760613335
0.0006723357536499335,40.17542539644354
0.00032903445623126676,56.20667076705747
0.00016102620275609394,82.09736395743845
7.880462815669905e-5,156.9085890700686
3.856620421163472e-5,189.07772329281624
1.8873918221350958e-5,279.7079239349773
9.236708571873865e-6,466.4184055010863
4.520353656360241e-6,475.0999801008369
2.2122162910704504e-6,783.3939277223668
1.0826367338740541e-6,468.4690320597679
5.298316906283712e-7,-2268.5742040981163
2.592943797404667e-7,966.3535627935287
1.2689610031679235e-7,-794.3971350959719
6.210169418915617e-8,-1256.187986066719
3.039195382313195e-8,-13990.231931995637
1.4873521072935118e-8,1149.1581067585246
7.278953843983161e-9,-1147.4016921247453
3.5622478902624368e-9,-2731.1230592789334
1.7433288221999873e-9,-2667.2950301189885
8.531678524172814e-10,695.6418528267751
4.175318936560409e-10,-1491.8947218219225
2.0433597178569396e-10,-1736.4609706870378
1.0e-10,1456.5757913731366
