E,E_idx,weight,dos
4.195475704075865e-13,1,17,1.767522417627301e14
5.281790978426128e-13,2,11,9.08466034124964e13
6.64938088252584e-13,3,21,1.377638604096563e14
8.371074565710114e-13,4,16,8.337502784610016e13
1.0538558494796276e-12,5,10,4.139196168067533e13
1.326725909277831e-12,6,10,3.2878803853586016e13
1.6702489616755831e-12,7,19,4.962146822724328e13
2.102718861876217e-12,8,12,2.4894147322972066e13
2.6471662090748815e-12,9,10,1.6478436748352434e13
3.3325848098471965e-12,10,12,1.5707145088001441e13
4.195475704075865e-12,11,10,1.0397190691925297e13
5.281790978426128e-12,12,9,7.432903915567886e12
6.64938088252584e-12,13,16,1.0496294126450004e13
8.371074565710114e-12,14,17,8.858596708648143e12
1.0538558494796276e-11,15,17,7.03663348571481e12
1.326725909277831e-11,16,20,6.5757607707172e12
1.670248961675583e-11,17,13,3.395153089232435e12
2.1027188618762165e-11,18,22,4.563927009211543e12
2.6471662090748815e-11,19,27,4.449177922055156e12
3.332584809847197e-11,20,18,2.3560717632002173e12
4.195475704075865e-11,21,22,2.2873819522235664e12
5.281790978426134e-11,22,22,1.8169320682499094e12
6.649380882525838e-11,23,19,1.2464349275159604e12
8.371074565710106e-11,24,19,9.900784556724312e11
1.0538558494796275e-10,25,21,8.692311952941829e11
1.326725909277831e-10,26,34,1.117879331021924e12
1.670248961675585e-10,27,24,6.267974933967507e11
2.102718861876216e-10,28,32,6.638439286126008e11
2.647166209074879e-10,29,24,3.954824819604549e11
3.332584809847197e-10,30,27,3.534107644800325e11
4.195475704075865e-10,31,28,2.911213393739084e11
5.281790978426133e-10,32,33,2.7253981023748645e11
6.649380882525838e-10,33,27,1.7712496338384695e11
8.371074565710107e-10,34,28,1.45906298730674e11
1.0538558494796275e-9,35,33,1.3659347354622884e11
1.326725909277831e-9,36,42,1.3809097618506113e11
1.670248961675585e-9,37,42,1.0968956134443144e11
2.1027188618762163e-9,38,38,7.883146652274629e10
2.647166209074879e-9,39,50,8.239218374176149e10
3.332584809847197e-9,40,54,7.068215289600648e10
4.195475704075865e-9,41,42,4.366820090608626e10
5.281790978426134e-9,42,55,4.542330170624775e10
6.649380882525838e-9,43,56,3.6737029442575676e10
8.371074565710106e-9,44,60,3.126563544228729e10
1.0538558494796275e-8,45,53,2.1937739690757954e10
1.326725909277831e-8,46,53,1.7425766042400574e10
1.670248961675585e-8,47,68,1.775926231290795e10
2.102718861876216e-8,48,68,1.410668348301775e10
2.647166209074879e-8,49,72,1.186447445881366e10
3.332584809847197e-8,50,83,1.0864108685867659e10
4.1954757040758656e-8,51,73,7.589949205105473e9
5.281790978426134e-8,52,82,6.772201345295117e9
6.649380882525838e-8,53,95,6.232174637579805e9
8.371074565710106e-8,54,102,5.315158025188837e9
1.0538558494796277e-7,55,114,4.718683631596991e9
1.3267259092778312e-7,56,96,3.156365169944255e9
1.6702489616755852e-7,57,123,3.2123371536583505e9
2.102718861876216e-7,58,137,2.8420818193726954e9
2.647166209074879e-7,59,135,2.2245889610275607e9
3.332584809847197e-7,60,172,2.2513574626135387e9
4.195475704075868e-7,61,157,1.6323589386322644e9
5.281790978426136e-7,62,200,1.6517564256817427e9
6.649380882525838e-7,63,190,1.2464349275159602e9
8.371074565710102e-7,64,194,1.0109222126339612e9
1.0538558494796271e-6,65,215,8.899271761345164e8
1.326725909277832e-6,66,267,8.778640628907416e8
1.6702489616755858e-6,67,293,7.652152731885365e8
2.102718861876216e-6,68,311,6.451733181203713e8
2.6471662090748773e-6,69,329,5.421405690207934e8
3.332584809847195e-6,70,352,4.607429225813736e8
4.195475704075868e-6,71,409,4.2524509929974264e8
5.281790978426136e-6,72,477,3.9394390752509564e8
6.649380882525838e-6,73,495,3.247290995370527e8
8.371074565710103e-6,74,526,2.740954040440534e8
1.0538558494796271e-5,75,608,2.5166312701850525e8
1.326725909277832e-5,76,711,2.3376829539899516e8
1.6702489616755858e-5,77,788,2.0579851033193418e8
2.1027188618762164e-5,78,894,1.8546139755614504e8
2.6471662090748774e-5,79,1085,1.787910387196234e8
3.3325848098471954e-5,80,1203,1.574641295072139e8
4.195475704075868e-5,81,1379,1.4337725964164913e8
5.281790978426135e-5,82,1607,1.3271862880352832e8
6.649380882525839e-5,83,1788,1.1729608686308035e8
8.371074565710103e-5,84,2133,1.111493339973322e8
0.0001053855849479627,85,2524,1.044733112820242e8
0.00013267259092778318,86,3032,9.968853328407224e7
0.0001670248961675585,87,3755,9.80676911543673e7
0.00021027188618762162,88,4312,8.945296938054748e7
0.0002647166209074878,89,5303,8.738515007651284e7
0.0003332584809847195,90,6438,8.42688333971274e7
0.0004195475704075867,91,7724,8.030790090443072e7
0.0005281790978426134,92,10017,8.272822058027023e7
0.0006649380882525839,93,12325,8.085426569281128e7
0.0008371074565710105,94,15316,7.981074540567918e7
0.0010538558494796273,95,19139,7.922007546064435e7
0.0013267259092778316,96,22899,7.528917294432628e7
0.0016702489616755851,97,25810,6.740684710237597e7
0.002102718861876216,98,24592,5.101640591387814e7
0.0026471662090748783,99,14510,2.3910211721859317e7
0.003332584809847196,100,2560,3.3508576187736304e6
