E,tau
0.10404761904761906,1.8856981975907052
0.11214285714285714,1.8712288600503977
0.12023809523809524,1.8870701166199404
0.12833333333333333,1.8718255673891357
0.13642857142857143,1.8711780794018915
0.14452380952380953,1.8737387838863342
0.15261904761904763,1.870208838997474
0.1607142857142857,1.872454546317015
0.1688095238095238,1.8771030873216732
0.1769047619047619,1.8602239230157842
0.185,1.8581475141826067
0.1930952380952381,1.8520174416605222
0.2011904761904762,1.8549548388487351
0.2092857142857143,1.8535026721178047
0.2173809523809524,1.8335200284916604
0.22547619047619047,1.8397857823066373
0.23357142857142857,1.8072418096961163
0.24166666666666667,1.831876088221042
0.24976190476190477,1.8126243170720087
0.2578571428571429,1.775840137385885
0.26595238095238094,1.7806294605086779
